,taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy)
4106,ASV5054,FALSE,TRUE
4107,ASV5055,FALSE,FALSE
4108,ASV5057,FALSE,TRUE
4109,ASV5058,FALSE,FALSE
4110,ASV5059,FALSE,FALSE
4111,ASV5060,FALSE,TRUE
4112,ASV5061,FALSE,TRUE
4113,ASV5062,TRUE,FALSE
4114,ASV5063,TRUE,FALSE
4115,ASV5064,TRUE,FALSE
4116,ASV5065,FALSE,TRUE
4117,ASV5066,FALSE,TRUE
4118,ASV5067,TRUE,FALSE
4119,ASV5068,TRUE,FALSE
4120,ASV5069,FALSE,FALSE
4121,ASV5072,FALSE,FALSE
4122,ASV5074,TRUE,FALSE
4123,ASV5076,FALSE,FALSE
4124,ASV5077,FALSE,FALSE
4125,ASV5079,FALSE,FALSE
4126,ASV5080,TRUE,FALSE
4127,ASV5081,FALSE,FALSE
4128,ASV5082,FALSE,FALSE
4129,ASV5084,FALSE,FALSE
4130,ASV5085,FALSE,FALSE
4131,ASV5087,FALSE,FALSE
4132,ASV5088,FALSE,FALSE
4133,ASV5089,FALSE,FALSE
4134,ASV5090,FALSE,FALSE
4135,ASV5091,TRUE,FALSE
4136,ASV5093,FALSE,FALSE
4137,ASV5094,FALSE,TRUE
4138,ASV5095,FALSE,TRUE
4139,ASV5096,FALSE,TRUE
4140,ASV5097,FALSE,TRUE
4141,ASV5098,FALSE,FALSE
4142,ASV5099,TRUE,FALSE
4143,ASV5100,FALSE,FALSE
4144,ASV5101,TRUE,FALSE
4145,ASV5102,FALSE,FALSE
4146,ASV5104,FALSE,FALSE
4147,ASV5105,FALSE,FALSE
4148,ASV5106,FALSE,FALSE
4149,ASV5107,TRUE,FALSE
4150,ASV5108,FALSE,FALSE
4151,ASV5109,FALSE,FALSE
4152,ASV5110,FALSE,FALSE
4153,ASV5111,FALSE,TRUE
4154,ASV5114,FALSE,FALSE
4155,ASV5115,FALSE,FALSE
4156,ASV5116,FALSE,FALSE
4157,ASV5117,FALSE,FALSE
4158,ASV5118,FALSE,FALSE
4159,ASV5119,FALSE,FALSE
4160,ASV5120,FALSE,FALSE
4161,ASV5122,FALSE,FALSE
4162,ASV5123,FALSE,FALSE
4163,ASV5124,FALSE,FALSE
4164,ASV5125,FALSE,FALSE
4165,ASV5126,FALSE,FALSE
4166,ASV5128,FALSE,TRUE
4167,ASV5129,FALSE,TRUE
4168,ASV5130,FALSE,TRUE
4169,ASV5131,FALSE,TRUE
4170,ASV5132,FALSE,FALSE
4171,ASV5134,FALSE,FALSE
4172,ASV5135,TRUE,FALSE
4173,ASV5136,TRUE,FALSE
4174,ASV5137,FALSE,FALSE
4175,ASV5138,TRUE,FALSE
4176,ASV5140,FALSE,TRUE
4177,ASV5141,FALSE,TRUE
4178,ASV5143,TRUE,FALSE
4179,ASV5144,FALSE,FALSE
4180,ASV5145,FALSE,FALSE
4181,ASV5146,FALSE,FALSE
4182,ASV5147,FALSE,FALSE
4183,ASV5148,FALSE,FALSE
4184,ASV5149,FALSE,FALSE
4185,ASV5150,FALSE,FALSE
4186,ASV5153,FALSE,FALSE
4187,ASV5155,FALSE,FALSE
4188,ASV5156,TRUE,FALSE
4189,ASV5157,FALSE,FALSE
4190,ASV5160,FALSE,FALSE
4191,ASV5162,FALSE,FALSE
4192,ASV5163,FALSE,FALSE
4193,ASV5164,FALSE,TRUE
4194,ASV5165,FALSE,TRUE
4195,ASV5166,TRUE,FALSE
4196,ASV5167,TRUE,FALSE
4197,ASV5168,TRUE,FALSE
4198,ASV5169,TRUE,FALSE
4199,ASV5170,FALSE,FALSE
4200,ASV5171,FALSE,FALSE
4201,ASV5172,FALSE,FALSE
4202,ASV5174,FALSE,FALSE
4203,ASV5175,FALSE,FALSE
4204,ASV5177,FALSE,FALSE
4205,ASV5178,FALSE,FALSE
4206,ASV5179,TRUE,FALSE
4207,ASV5180,FALSE,FALSE
4208,ASV5182,FALSE,FALSE
4209,ASV5184,FALSE,FALSE
4210,ASV5185,TRUE,FALSE
4211,ASV5186,FALSE,FALSE
4212,ASV5187,TRUE,FALSE
4213,ASV5188,FALSE,FALSE
4214,ASV5190,TRUE,FALSE
4215,ASV5193,FALSE,FALSE
4216,ASV5194,FALSE,FALSE
4217,ASV5195,FALSE,FALSE
4218,ASV5196,FALSE,FALSE
4219,ASV5197,FALSE,TRUE
4220,ASV5198,FALSE,TRUE
4221,ASV5199,TRUE,FALSE
4222,ASV5200,FALSE,FALSE
4223,ASV5202,FALSE,FALSE
4224,ASV5203,FALSE,FALSE
4225,ASV5204,TRUE,FALSE
4226,ASV5205,FALSE,FALSE
4227,ASV5206,TRUE,FALSE
4228,ASV5207,FALSE,TRUE
4229,ASV5208,TRUE,FALSE
4230,ASV5209,TRUE,FALSE
4231,ASV5210,TRUE,FALSE
4232,ASV5211,TRUE,FALSE
4233,ASV5214,FALSE,FALSE
4234,ASV5216,FALSE,FALSE
4235,ASV5217,FALSE,FALSE
4236,ASV5218,FALSE,FALSE
4237,ASV5219,FALSE,TRUE
4238,ASV5220,FALSE,TRUE
4239,ASV5221,FALSE,TRUE
4240,ASV5222,FALSE,TRUE
4241,ASV5223,FALSE,TRUE
4242,ASV5224,FALSE,TRUE
4243,ASV5227,FALSE,FALSE
4244,ASV5228,FALSE,FALSE
4245,ASV5229,TRUE,FALSE
4246,ASV5230,FALSE,FALSE
4247,ASV5233,FALSE,FALSE
4248,ASV5235,FALSE,FALSE
4249,ASV5236,FALSE,FALSE
4250,ASV5238,TRUE,FALSE
4251,ASV5239,FALSE,TRUE
4252,ASV5240,TRUE,FALSE
4253,ASV5241,TRUE,FALSE
4254,ASV5242,FALSE,FALSE
4255,ASV5243,FALSE,FALSE
4256,ASV5244,TRUE,FALSE
4257,ASV5245,FALSE,FALSE
4258,ASV5246,FALSE,FALSE
4259,ASV5247,FALSE,FALSE
4260,ASV5250,FALSE,TRUE
4261,ASV5251,FALSE,TRUE
4262,ASV5252,FALSE,TRUE
4263,ASV5253,FALSE,TRUE
4264,ASV5254,FALSE,TRUE
4265,ASV5255,FALSE,TRUE
4266,ASV5256,TRUE,FALSE
4267,ASV5257,TRUE,FALSE
4268,ASV5258,TRUE,FALSE
4269,ASV5259,TRUE,FALSE
4270,ASV5260,FALSE,FALSE
4271,ASV5261,FALSE,FALSE
4272,ASV5265,FALSE,FALSE
4273,ASV5267,FALSE,FALSE
4274,ASV5270,FALSE,FALSE
4275,ASV5272,FALSE,FALSE
4276,ASV5273,FALSE,FALSE
4277,ASV5274,TRUE,FALSE
4278,ASV5275,FALSE,TRUE
