taxon,structural_zero (Plant.condition = Diseased),structural_zero (Plant.condition = Healthy),structural_zero,lfc_(Intercept),lfc_Soil.originSoilB,lfc_Plant.conditionHealthy,se_(Intercept),se_Soil.originSoilB,se_Plant.conditionHealthy,W_(Intercept),W_Soil.originSoilB,W_Plant.conditionHealthy,p_(Intercept),p_Soil.originSoilB,p_Plant.conditionHealthy,q_(Intercept),q_Soil.originSoilB,q_Plant.conditionHealthy,diff_(Intercept),diff_Soil.originSoilB,diff_Plant.conditionHealthy,passed_ss_(Intercept),passed_ss_Soil.originSoilB,passed_ss_Plant.conditionHealthy,
5174,ASV11631,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5175,ASV11632,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5176,ASV11634,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5177,ASV11635,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5178,ASV11637,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5179,ASV11642,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
5180,ASV11643,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5181,ASV11644,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
5182,ASV11646,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5183,ASV11647,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5184,ASV11648,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5185,ASV11649,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
