"","Kingdom","Phylum","Class","Order","Family","Genus"
"895a68f22f2a3e643b2125711123b2b7","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"47edf6a925a0d9dbafe3d0b9367523cf","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cyclobacteriaceae","Algoriphagus"
"ff7b0aceeb0595313a0b85fb52712c6d","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"7ae09b69b3b0bdf376b39f0bf35fb40b","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Novibacillus"
"d2597c08c793c50037366c54b9a525cd","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia"
"ec398d5c0241b49165e75d7472aac4e0","Bacteria","Nitrospirota","Nitrospiria","Nitrospirales","Nitrospiraceae","Nitrospira"
"3a0b2ffe05c0400185c5864a9ca34f3e","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas"
"d0c65b9d7e3c7af46d3a44cbb82cfb5e","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA
"d3bbba359439cb7e3f2a52336c44afea","Bacteria","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus"
"d015fabad256308277d036f5975353a4","Bacteria","Proteobacteria","Gammaproteobacteria","PLTA13",NA,NA
"4781f21bcbb2b6cbfada3a3eaad259d9","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"a05e43ad86515761fcd618fb7a42c08b","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"8842603f9c14d390b5d1e094986a5afe","Bacteria","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces"
"d79cf74e27907e1757a5eb23c7d79024","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"2dc5814a6c0a7242890e2c3b956ffd51","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Thermoactinomyces"
"c1282c0725ce6f3073ac90f5dee2f901","Bacteria","Firmicutes","Bacilli","Thermoactinomycetales","Thermoactinomycetaceae","Planifilum"
"3cfa3601b33597d8c05272a9a0995bae","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA
"0a7c9b5880765b01c2926de0fe1aaf28","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"61f42cf4291dccd976ead35c690e6dfb","Archaea","Crenarchaeota","Nitrososphaeria","Nitrososphaerales","Nitrososphaeraceae",NA
"38eb1397a89341e302d6f512c7958058","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus"
"c9ca07b84506359aecc1afa8e05efa1e","Bacteria","Firmicutes","Bacilli","Bacillales",NA,NA
