"plant.b1"	"plant.b2"	"plant.b3"	"plant.b4"	"plant.d1"	"plant.d2"	"plant.d3"	"plant.d4"	"plant.f1"	"plant.f2"	"plant.f3"	"plant.f4"	"plant.k1"	"plant.k2"	"plant.k3"	"plant.k4"	"plant.m1"	"plant.m2"	"plant.m3"	"plant.m4"	"plant.p1"	"plant.p2"	"plant.p3"	"plant.p4"	"plant.r1"	"plant.r2"	"plant.r3"	"plant.r4"	"plant.s1"	"plant.s2"	"plant.s3"	"plant.s4"	"plant.t1"	"plant.t2"	"plant.t3"	"plant.t4"	"plant.v1"	"plant.v2"	"plant.v3"	"plant.v4"	"plant.x1"	"plant.x2"	"plant.x3"	"plant.x4"	"plant.y1"	"plant.y2"	"plant.y3"	"plant.y4"
"ASV133"	427	56	0	104	86	0	93	0	106	0	79	207	0	0	0	124	54	0	19	0	0	0	45	0	81	0	0	0	386	433	0	0	0	0	797	0	0	0	0	267	0	0	64	212	0	0	142	129
"ASV135"	182	167	189	91	145	0	0	0	0	0	0	0	207	136	127	182	182	196	162	0	185	185	116	206	154	66	133	0	0	184	90	311	0	0	0	0	143	0	0	146	0	0	0	0	0	0	0	0
"ASV136"	0	0	136	133	0	0	0	0	0	0	0	0	0	196	242	163	81	0	0	0	0	115	177	0	217	96	150	1850	0	0	0	0	98	0	0	224	0	0	0	0	0	0	0	0	0	0	0	0
"ASV138"	0	89	181	188	0	0	0	57	27	0	0	0	148	188	117	222	0	162	136	94	212	155	235	204	264	129	185	233	0	0	0	0	0	0	171	0	0	137	0	181	0	0	45	0	0	0	0	52
"ASV139"	83	0	0	0	0	0	0	0	71	0	0	397	0	0	0	0	0	0	0	0	0	0	0	0	866	125	0	0	0	95	0	0	0	0	342	0	0	0	47	0	0	0	103	46	0	1112	326	172
"ASV140"	0	0	0	0	0	0	0	0	0	0	0	149	0	0	0	64	0	0	0	0	0	139	0	0	200	481	118	0	0	239	0	0	0	0	240	164	0	0	78	0	146	1605	0	157	0	0	0	0
"ASV141"	849	71	0	56	0	0	167	58	89	0	0	41	0	0	87	157	0	0	79	64	122	47	0	114	80	117	116	0	0	529	144	111	0	0	102	0	0	0	0	0	0	0	120	0	0	68	180	132
"ASV143"	67	0	0	42	0	0	57	0	0	89	0	64	188	117	128	250	0	0	0	107	122	304	192	138	78	0	88	0	102	132	180	191	0	0	191	0	234	145	123	337	0	0	0	0	0	0	0	0
"ASV144"	436	112	0	90	0	134	64	0	761	377	0	181	0	16	17	88	144	0	73	81	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	57	72	84	0	39	125	277	231
"ASV145"	0	0	0	0	0	323	0	1518	0	65	102	693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191	88	0	0	0	0	0	0	0	0	0	441	0	0	0	0	203	0
"ASV146"	254	188	225	213	0	0	0	0	0	0	0	0	231	151	365	208	99	190	177	186	148	425	278	145	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	83	0	0
"ASV147"	489	238	364	507	6	0	0	0	21	0	3	0	0	0	0	0	319	369	387	349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	75	0	117	184	90
"ASV148"	390	441	420	489	0	0	0	0	0	14	0	0	98	39	0	0	309	355	425	341	0	106	49	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	50	18	0	0	0	0	0	0
"ASV149"	513	0	97	0	0	0	41	0	108	53	0	0	0	0	0	66	0	0	0	0	0	0	133	0	0	0	208	0	197	138	0	934	0	141	133	0	0	0	125	0	0	145	97	200	42	0	193	0
"ASV150"	207	193	289	408	0	0	0	0	0	0	0	0	93	94	106	108	246	179	348	304	107	309	137	117	43	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	55	0	0	84	0	56
"ASV152"	88	70	101	145	118	193	62	160	181	0	0	180	94	95	44	89	89	84	103	115	92	76	245	110	76	0	173	24	0	0	161	0	0	0	0	0	84	117	102	0	29	0	0	0	0	43	85	31
"ASV153"	398	322	379	460	0	0	0	0	120	0	0	89	0	0	56	57	275	346	359	269	54	103	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95
"ASV154"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	76	0	0	0	0	0	0	0	0	0	0	0	188	2785	104	0	0	124	98	0	0	0	0	0	0	0
"ASV156"	0	0	54	68	63	243	77	80	0	0	109	444	0	0	0	0	0	0	0	127	0	0	0	0	110	0	101	0	0	0	0	0	15	0	253	0	102	93	33	206	136	262	142	0	0	0	308	384
